variant,space,outlier_cont,alg,k,n_core,sil,dbi,ch,ARI_vs_quality,NMI_vs_quality,AMI_vs_quality,stab_seed_ARI,stab_subsample_ARI,min_cluster_size
all,PCA,0.05,kmeans,10,364,0.12397505563549631,1.7745971349973537,47.49433514680388,0.03284140010313163,0.07866708808209624,0.06093963117671933,0.46147579672415306,0.46066352526758797,6
all,PCA,0.05,ward,2,364,0.26879177969329376,1.5157728307271934,133.55661983152137,0.0925098029625528,0.05799231555326635,0.054236166828267915,,,143
all,PCA,0.05,ward,3,364,0.20484253125978638,1.924742630624179,84.94390724332513,0.1008301258963246,0.07405847029831351,0.06785313775237377,,,45
all,PCA,0.05,ward,4,364,0.17907555527820165,2.130754615962915,69.08619295656237,0.11705929943809613,0.06657167222356272,0.05801665780657289,,,39
all,PCA,0.05,ward,5,364,0.1313089779809206,2.1533500716034486,59.48510947088213,0.04483972061763086,0.07984806877893968,0.06994439343072412,,,39
all,PCA,0.05,ward,6,364,0.12603587120917062,1.912440760294353,53.81957391082367,0.04669058842527222,0.08075328335535473,0.06853303131857737,,,13
all,PCA,0.05,ward,7,364,0.10175414851072552,1.8794665217147721,50.016165652166876,0.022975192977062624,0.07480207575977199,0.06150470592684235,,,13
all,PCA,0.05,ward,8,364,0.0970156576511718,1.9847160039127032,47.26045542048189,0.03439320142673557,0.07291949438376379,0.05828253952568646,,,13
all,PCA,0.05,ward,9,364,0.10606522352635064,1.9491280062242937,45.18580288252603,0.035920331166535445,0.07104068008245894,0.0546173555078499,,,13
all,PCA,0.05,ward,10,364,0.11241534019845473,1.8596240815479945,43.33518460893802,0.03718194096705128,0.0729860580986344,0.054860017485047916,,,5
all,PCA,0.1,kmeans,2,345,0.2731020816691625,1.477477470385169,133.30016280799177,0.08081670747537716,0.04461316931002773,0.04061920316367377,0.9720773707521292,0.9762688674823513,133
all,PCA,0.1,kmeans,3,345,0.1800729758932004,1.9597846459862522,90.28144432072949,0.022029195615361884,0.03241444257448314,0.026006932100444417,0.6530760438183056,0.638758950524522,77
all,PCA,0.1,kmeans,4,345,0.17516147941244598,1.945593237586252,75.158854474876,0.04629180602297561,0.042755691480883644,0.03385996776319201,0.6201202034138998,0.5507642218585413,32
all,PCA,0.1,kmeans,5,345,0.17037457954996613,1.8370611083840571,67.39820574772692,0.04758115048610196,0.06286084005430216,0.052390704001107145,0.5644628883101244,0.49916736850588406,33
all,PCA,0.1,kmeans,6,345,0.16019213261416823,1.8422461200671034,60.536001767899684,0.060100864739895406,0.059720887471416725,0.047305970893285226,0.5513421583013277,0.5080493510819171,22
all,PCA,0.1,kmeans,7,345,0.15555088800301997,1.802747698733805,55.736280170338866,0.06449758968976452,0.08548458190838996,0.07139064255468287,0.5710030526168769,0.5451764123902223,16
all,PCA,0.1,kmeans,8,345,0.13436686132196488,1.7865953071852108,52.20154919649205,0.018406288756545593,0.07518517285920111,0.05975572154123389,0.4639677563777175,0.48901649865265573,19
all,PCA,0.1,kmeans,9,345,0.12572132168452446,1.794914144814462,49.94158941243101,0.038100624947849805,0.07513544383453154,0.05833198086702213,0.44678486791898964,0.500749184882968,17
all,PCA,0.1,kmeans,10,345,0.12852873675204227,1.8259446211834536,46.89289551404215,0.03759223559341224,0.07782000960857084,0.05945953871647217,0.4598029057052161,0.47493778254993824,15
all,PCA,0.1,ward,2,345,0.2706625732760273,1.4663624530984731,129.33302838659628,0.09434542922610635,0.05091504073936659,0.0468951932636356,,,124
all,PCA,0.1,ward,3,345,0.2342928985552872,1.7424656620236991,83.97299414287329,0.11573638979681368,0.065138076703951,0.058210266017683504,,,31
all,PCA,0.1,ward,4,345,0.19561527817351887,1.9223450801140347,69.26001614936239,0.13317714843309078,0.059428088882795764,0.05003376046325954,,,31
all,PCA,0.1,ward,5,345,0.15789263768965034,1.9099352921450794,62.01261332788344,0.061080323374521614,0.07419755763119316,0.0632651419537735,,,31
all,PCA,0.1,ward,6,345,0.1454216308538895,1.9985644631735078,56.00493624704359,0.04877250353382268,0.07100284286604262,0.05869985928585192,,,31
all,PCA,0.1,ward,7,345,0.14074887643268424,1.9160049315838872,51.53828499305308,0.05334239875648733,0.08025881074850132,0.06593938896356503,,,15
